POOL,NE,DATE,ATTACH,DETECH,TOTAL
Balomsum Pool,MSDP5,2020-06-26 00:00:00,1175567.0,187314.0,1362881.0
Balomsum Pool,MSDP6,2020-06-26 00:00:00,1184498.0,207555.0,1392053.0
Balomsum Pool,MSSG3,2020-06-26 00:00:00,1221453.0,211551.0,1433004.0
Central Java Pool,MSSM2,2020-06-26 00:00:00,1278441.0,358253.0,1636694.0
Central Java Pool,MSTG2,2020-06-26 00:00:00,1291641.0,321335.0,1612976.0
Central Java Pool,MSWL1,2020-06-26 00:00:00,1281950.0,357062.0,1639012.0
Central Java Pool,MSYG5,2020-06-26 00:00:00,1285384.0,359153.0,1644537.0
East Java Pool,MSB12,2020-06-26 00:00:00,1276966.0,265790.0,1542756.0
East Java Pool,MSJE2,2020-06-26 00:00:00,1263300.0,260032.0,1523332.0
East Java Pool,MSMA1,2020-06-26 00:00:00,1275559.0,266327.0,1541886.0
East Java Pool,MSSB9,2020-06-26 00:00:00,1275874.0,267062.0,1542936.0
Jabo Pool,MSJ24,2020-06-26 00:00:00,1437182.0,303188.0,1740370.0
Jabo Pool,MSJ25,2020-06-26 00:00:00,1424691.0,304694.0,1729385.0
Jabo Pool,MSJ26,2020-06-26 00:00:00,1426060.0,304490.0,1730550.0
Jabo Pool,MSJ28,2020-06-26 00:00:00,1427420.0,304112.0,1731532.0
Jabo Pool,MSJ30,2020-06-26 00:00:00,1428317.0,304733.0,1733050.0
Jabo Pool,MSJ35,2020-06-26 00:00:00,1440671.0,308355.0,1749026.0
Kalimantan Pool,MSBJ3,2020-06-26 00:00:00,600733.0,147297.0,748030.0
Kalimantan Pool,MSBP4,2020-06-26 00:00:00,578984.0,142591.0,721575.0
Kalimantan Pool,MSPT2,2020-06-26 00:00:00,229587.0,87305.0,316892.0
Northern West Pool,MSAC2,2020-06-26 00:00:00,754834.0,226504.0,981338.0
Northern West Pool,MSBT2,2020-06-26 00:00:00,758975.0,230331.0,989306.0
Northern West Pool,MSMD8,2020-06-26 00:00:00,763946.0,222934.0,986880.0
Northern West Pool,MSPD3,2020-06-26 00:00:00,560803.0,118558.0,679361.0
Northern West Pool,MSPK5,2020-06-26 00:00:00,751477.0,220808.0,972285.0
Southern West Pool,MSBK3,2020-06-26 00:00:00,789969.0,169953.0,959922.0
Southern West Pool,MSPB5,2020-06-26 00:00:00,782040.0,170561.0,952601.0
Southern West Pool,MSPB7,2020-06-26 00:00:00,891711.0,203750.0,1095461.0
Sulampapua Pool,MSKU2,2020-06-26 00:00:00,64711.0,18142.0,82853.0
Sulampapua Pool,MSMK4,2020-06-26 00:00:00,683950.0,305475.0,989425.0
Sulampapua Pool,MSMO3,2020-06-26 00:00:00,142166.0,49222.0,191388.0
Sulampapua Pool,MSPU2,2020-06-26 00:00:00,80074.0,29410.0,109484.0
West Java Pool,MSBD7,2020-06-26 00:00:00,1305067.0,290899.0,1595966.0
West Java Pool,MSBD8,2020-06-26 00:00:00,1307578.0,291841.0,1599419.0
West Java Pool,MSCH1,2020-06-26 00:00:00,1305346.0,293291.0,1598637.0
West Java Pool,MSCI2,2020-06-26 00:00:00,1287881.0,290405.0,1578286.0
Balomsum Pool,MSDP5,2020-06-27 00:00:00,1145036.0,164985.0,1310021.0
Balomsum Pool,MSDP6,2020-06-27 00:00:00,1197701.0,209585.0,1407286.0
Balomsum Pool,MSSG3,2020-06-27 00:00:00,1228789.0,213103.0,1441892.0
Central Java Pool,MSSM2,2020-06-27 00:00:00,1282193.0,358275.0,1640468.0
Central Java Pool,MSTG2,2020-06-27 00:00:00,1296486.0,354277.0,1650763.0
Central Java Pool,MSWL1,2020-06-27 00:00:00,1286721.0,357099.0,1643820.0
Central Java Pool,MSYG5,2020-06-27 00:00:00,1290439.0,357791.0,1648230.0
East Java Pool,MSB12,2020-06-27 00:00:00,1279776.0,265077.0,1544853.0
East Java Pool,MSJE2,2020-06-27 00:00:00,1262125.0,260732.0,1522857.0
East Java Pool,MSMA1,2020-06-27 00:00:00,1277904.0,266943.0,1544847.0
East Java Pool,MSSB9,2020-06-27 00:00:00,1277394.0,266775.0,1544169.0
Jabo Pool,MSJ24,2020-06-27 00:00:00,1435051.0,300461.0,1735512.0
Jabo Pool,MSJ25,2020-06-27 00:00:00,1424405.0,300437.0,1724842.0
Jabo Pool,MSJ26,2020-06-27 00:00:00,1423279.0,300922.0,1724201.0
Jabo Pool,MSJ28,2020-06-27 00:00:00,1426499.0,299978.0,1726477.0
Jabo Pool,MSJ30,2020-06-27 00:00:00,1426279.0,301479.0,1727758.0
Jabo Pool,MSJ35,2020-06-27 00:00:00,1438226.0,304849.0,1743075.0
Kalimantan Pool,MSBJ3,2020-06-27 00:00:00,601938.0,145666.0,747604.0
Kalimantan Pool,MSBP4,2020-06-27 00:00:00,582016.0,142134.0,724150.0
Kalimantan Pool,MSPT2,2020-06-27 00:00:00,233699.0,83571.0,317270.0
Northern West Pool,MSAC2,2020-06-27 00:00:00,756380.0,224851.0,981231.0
Northern West Pool,MSBT2,2020-06-27 00:00:00,762397.0,229015.0,991412.0
Northern West Pool,MSMD8,2020-06-27 00:00:00,765154.0,222670.0,987824.0
Northern West Pool,MSPD3,2020-06-27 00:00:00,561736.0,118349.0,680085.0
Northern West Pool,MSPK5,2020-06-27 00:00:00,754744.0,220101.0,974845.0
Southern West Pool,MSBK3,2020-06-27 00:00:00,787287.0,174419.0,961706.0
Southern West Pool,MSPB5,2020-06-27 00:00:00,782804.0,176249.0,959053.0
Southern West Pool,MSPB7,2020-06-27 00:00:00,883727.0,207361.0,1091088.0
Sulampapua Pool,MSKU2,2020-06-27 00:00:00,64846.0,18404.0,83250.0
Sulampapua Pool,MSMK4,2020-06-27 00:00:00,685014.0,307914.0,992928.0
Sulampapua Pool,MSMO3,2020-06-27 00:00:00,140826.0,49966.0,190792.0
Sulampapua Pool,MSPU2,2020-06-27 00:00:00,80313.0,28516.0,108829.0
West Java Pool,MSBD7,2020-06-27 00:00:00,1317143.0,287889.0,1605032.0
West Java Pool,MSBD8,2020-06-27 00:00:00,1320019.0,288896.0,1608915.0
West Java Pool,MSCH1,2020-06-27 00:00:00,1316056.0,290814.0,1606870.0
West Java Pool,MSCI2,2020-06-27 00:00:00,1300160.0,288740.0,1588900.0
Balomsum Pool,MSDP5,2020-06-28 00:00:00,1154153.0,188324.0,1342477.0
Balomsum Pool,MSDP6,2020-06-28 00:00:00,1198924.0,210921.0,1409845.0
Balomsum Pool,MSSG3,2020-06-28 00:00:00,1223566.0,214556.0,1438122.0
Central Java Pool,MSSM2,2020-06-28 00:00:00,1272881.0,367173.0,1640054.0
Central Java Pool,MSTG2,2020-06-28 00:00:00,1285096.0,369881.0,1654977.0
Central Java Pool,MSWL1,2020-06-28 00:00:00,1276918.0,366387.0,1643305.0
Central Java Pool,MSYG5,2020-06-28 00:00:00,1279753.0,367222.0,1646975.0
East Java Pool,MSB12,2020-06-28 00:00:00,1275428.0,270572.0,1546000.0
East Java Pool,MSJE2,2020-06-28 00:00:00,1252848.0,264919.0,1517767.0
East Java Pool,MSMA1,2020-06-28 00:00:00,1270828.0,272063.0,1542891.0
East Java Pool,MSSB9,2020-06-28 00:00:00,1271069.0,271432.0,1542501.0
Jabo Pool,MSJ24,2020-06-28 00:00:00,1430922.0,309324.0,1740246.0
Jabo Pool,MSJ25,2020-06-28 00:00:00,1422692.0,308759.0,1731451.0
Jabo Pool,MSJ26,2020-06-28 00:00:00,1421713.0,309058.0,1730771.0
Jabo Pool,MSJ28,2020-06-28 00:00:00,1423954.0,308000.0,1731954.0
Jabo Pool,MSJ30,2020-06-28 00:00:00,1424350.0,308878.0,1733228.0
Jabo Pool,MSJ35,2020-06-28 00:00:00,1434289.0,313312.0,1747601.0
Kalimantan Pool,MSBJ3,2020-06-28 00:00:00,598235.0,147116.0,745351.0
