NE,DATE,TABLE,REMARK
MGJ2001,2020-06-17 22:00:00,100665892,NOK
MGAC201,2020-07-10 12:00:00,100665892,OK
MGBB201,2020-07-10 12:00:00,100665892,OK
MGBB301,2020-07-10 12:00:00,100665892,OK
MGBJ201,2020-07-10 12:00:00,100665892,OK
MGBK201,2020-07-10 12:00:00,100665892,OK
MGBP301,2020-07-10 12:00:00,100665892,OK
MGBP302,2020-07-10 12:00:00,100665892,OK
MGBT201,2020-07-10 12:00:00,100665892,OK
MGBT202,2020-07-10 12:00:00,100665892,OK
MGGO101,2020-07-10 12:00:00,100665892,OK
MGJ1901,2020-07-10 12:00:00,100665892,OK
MGJ1902,2020-07-10 12:00:00,100665892,OK
MGJ2002,2020-07-10 12:00:00,100665892,OK
MGJ2701,2020-07-10 12:00:00,100665892,OK
MGJB201,2020-07-10 12:00:00,100665892,OK
MGJY101,2020-07-10 12:00:00,100665892,OK
MGKE102,2020-07-10 12:00:00,100665892,OK
MGKG102,2020-07-10 12:00:00,100665892,OK
MGKU201,2020-07-10 12:00:00,100665892,OK
MGLP201,2020-07-10 12:00:00,100665892,OK
MGLP401,2020-07-10 12:00:00,100665892,OK
MGMD701,2020-07-10 12:00:00,100665892,OK
MGMD702,2020-07-10 12:00:00,100665892,OK
MGMK301,2020-07-10 12:00:00,100665892,OK
MGMK302,2020-07-10 12:00:00,100665892,OK
MGMO201,2020-07-10 12:00:00,100665892,OK
MGPB401,2020-07-10 12:00:00,100665892,OK
MGPB501,2020-07-10 12:00:00,100665892,OK
MGPB601,2020-07-10 12:00:00,100665892,OK
MGPD301,2020-07-10 12:00:00,100665892,OK
MGPD302,2020-07-10 12:00:00,100665892,OK
MGPG101,2020-07-10 12:00:00,100665892,OK
MGPK301,2020-07-10 12:00:00,100665892,OK
MGPT102,2020-07-10 12:00:00,100665892,OK
MGPU102,2020-07-10 12:00:00,100665892,OK
MGPY101,2020-07-10 12:00:00,100665892,OK
MGSA101,2020-07-10 12:00:00,100665892,OK
MSAC2,2020-07-10 12:00:00,83888114,OK
MSAC2,2020-07-10 12:00:00,83888115,OK
MSAC2,2020-07-10 12:00:00,83888175,OK
MSAC2,2020-07-10 12:00:00,83888176,OK
MSAC2,2020-07-10 12:00:00,83888192,OK
MSAC2,2020-07-10 12:00:00,83888198,OK
MSAC2,2020-07-10 12:00:00,83888204,OK
MSAC2,2020-07-10 12:00:00,83888217,OK
MSAC2,2020-07-10 12:00:00,83888355,OK
MSBJ3,2020-07-10 12:00:00,83888114,OK
MSBJ3,2020-07-10 12:00:00,83888115,OK
MSBJ3,2020-07-10 12:00:00,83888175,OK
MSBJ3,2020-07-10 12:00:00,83888176,OK
MSBJ3,2020-07-10 12:00:00,83888192,OK
MSBJ3,2020-07-10 12:00:00,83888198,OK
MSBJ3,2020-07-10 12:00:00,83888204,OK
MSBJ3,2020-07-10 12:00:00,83888217,OK
MSBJ3,2020-07-10 12:00:00,83888355,OK
MSBK3,2020-07-10 12:00:00,83888114,OK
MSBK3,2020-07-10 12:00:00,83888115,OK
MSBK3,2020-07-10 12:00:00,83888175,OK
MSBK3,2020-07-10 12:00:00,83888176,OK
MSBK3,2020-07-10 12:00:00,83888192,OK
MSBK3,2020-07-10 12:00:00,83888198,OK
MSBK3,2020-07-10 12:00:00,83888204,OK
MSBK3,2020-07-10 12:00:00,83888217,OK
MSBK3,2020-07-10 12:00:00,83888355,OK
MSBP4,2020-07-10 12:00:00,83888114,OK
MSBP4,2020-07-10 12:00:00,83888115,OK
MSBP4,2020-07-10 12:00:00,83888175,OK
MSBP4,2020-07-10 12:00:00,83888176,OK
MSBP4,2020-07-10 12:00:00,83888192,OK
MSBP4,2020-07-10 12:00:00,83888198,OK
MSBP4,2020-07-10 12:00:00,83888204,OK
MSBP4,2020-07-10 12:00:00,83888217,OK
MSBP4,2020-07-10 12:00:00,83888355,OK
MSBT2,2020-07-10 12:00:00,83888114,OK
MSBT2,2020-07-10 12:00:00,83888115,OK
MSBT2,2020-07-10 12:00:00,83888175,OK
MSBT2,2020-07-10 12:00:00,83888176,OK
MSBT2,2020-07-10 12:00:00,83888192,OK
MSBT2,2020-07-10 12:00:00,83888198,OK
MSBT2,2020-07-10 12:00:00,83888204,OK
MSBT2,2020-07-10 12:00:00,83888217,OK
MSBT2,2020-07-10 12:00:00,83888355,OK
MSJY1,2020-07-10 12:00:00,83888114,OK
MSJY1,2020-07-10 12:00:00,83888115,OK
MSJY1,2020-07-10 12:00:00,83888175,OK
MSJY1,2020-07-10 12:00:00,83888192,OK
MSJY1,2020-07-10 12:00:00,83888198,OK
MSJY1,2020-07-10 12:00:00,83888204,OK
MSJY1,2020-07-10 12:00:00,83888217,OK
MSJY1,2020-07-10 12:00:00,83888355,OK
MSKU2,2020-07-10 12:00:00,83888114,OK
MSKU2,2020-07-10 12:00:00,83888115,OK
MSKU2,2020-07-10 12:00:00,83888175,OK
MSKU2,2020-07-10 12:00:00,83888176,OK
MSKU2,2020-07-10 12:00:00,83888192,OK
MSKU2,2020-07-10 12:00:00,83888198,OK
MSKU2,2020-07-10 12:00:00,83888204,OK
MSKU2,2020-07-10 12:00:00,83888217,OK
MSKU2,2020-07-10 12:00:00,83888355,OK
MSMD8,2020-07-10 12:00:00,83888114,OK
MSMD8,2020-07-10 12:00:00,83888115,OK
MSMD8,2020-07-10 12:00:00,83888175,OK
MSMD8,2020-07-10 12:00:00,83888176,OK
MSMD8,2020-07-10 12:00:00,83888192,OK
MSMD8,2020-07-10 12:00:00,83888198,OK
MSMD8,2020-07-10 12:00:00,83888204,OK
MSMD8,2020-07-10 12:00:00,83888217,OK
MSMD8,2020-07-10 12:00:00,83888355,OK
MSMK4,2020-07-10 12:00:00,83888114,OK
MSMK4,2020-07-10 12:00:00,83888115,OK
MSMK4,2020-07-10 12:00:00,83888175,OK
MSMK4,2020-07-10 12:00:00,83888176,OK
MSMK4,2020-07-10 12:00:00,83888192,OK
MSMK4,2020-07-10 12:00:00,83888198,OK
MSMK4,2020-07-10 12:00:00,83888204,OK
MSMK4,2020-07-10 12:00:00,83888217,OK
MSMK4,2020-07-10 12:00:00,83888355,OK
MSMO3,2020-07-10 12:00:00,83888114,OK
MSMO3,2020-07-10 12:00:00,83888115,OK
MSMO3,2020-07-10 12:00:00,83888175,OK
MSMO3,2020-07-10 12:00:00,83888176,OK
MSMO3,2020-07-10 12:00:00,83888192,OK
MSMO3,2020-07-10 12:00:00,83888198,OK
MSMO3,2020-07-10 12:00:00,83888204,OK
MSMO3,2020-07-10 12:00:00,83888217,OK
MSMO3,2020-07-10 12:00:00,83888355,OK
MSPB5,2020-07-10 12:00:00,83888114,OK
MSPB5,2020-07-10 12:00:00,83888115,OK
MSPB5,2020-07-10 12:00:00,83888175,OK
MSPB5,2020-07-10 12:00:00,83888176,OK
MSPB5,2020-07-10 12:00:00,83888192,OK
MSPB5,2020-07-10 12:00:00,83888198,OK
MSPB5,2020-07-10 12:00:00,83888204,OK
MSPB5,2020-07-10 12:00:00,83888217,OK
MSPB5,2020-07-10 12:00:00,83888355,OK
MSPB7,2020-07-10 12:00:00,83888114,OK
MSPB7,2020-07-10 12:00:00,83888115,OK
