Short name,periode_start_time,4G_BAND,COVERAGE,eCELL_ID,eNodeB_Name,eNodeB_Name_Huawei_Nokia,NE_STATES,RPT_AREA,SITE_ID,SITE_NAME,VBT_MICRO_CLUSTER,VENDOR,4G_cell_availability_auto,lte_Avg_CQI ,lte_BW_MHz,lte_estimated_user_throughput,lte_prb_dl_utilization,lte_prb_ul_utilization,lte_rrc_connected_user,lte_user_tput_dl,lte_user_tput_ul,lte_traffic_vol_dl_ul,lte_traffic_vol_GB
Sumatera,2020/10/21 00:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.996504,10.712221,,15.129138,0.222983,0.091674,453124.653655,5.820334,0.541108,480202311.344416,58618.446209
Sumatera,2020/10/21 01:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.996295,10.946587,,18.571123,0.165630,0.066758,338287.102012,7.619641,0.559375,370401809.059538,45215.064582
Sumatera,2020/10/21 02:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.995992,11.147396,,21.008951,0.120990,0.054065,271980.961992,9.057703,0.628508,266347469.540956,32513.118840
Sumatera,2020/10/21 03:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.995885,11.320733,,22.619176,0.087443,0.044119,232773.772997,10.096771,0.678347,193414008.771797,23610.108493
Sumatera,2020/10/21 04:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.993370,11.325997,,22.711768,0.080806,0.043511,229315.623674,10.390300,0.700529,176271749.312521,21517.547524
Sumatera,2020/10/21 05:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.994501,11.035983,,19.198173,0.141541,0.064441,321164.638676,7.989693,0.626152,302111247.127339,36878.814347
Sumatera,2020/10/21 06:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.995611,10.770090,,15.162583,0.208931,0.088613,458086.508987,5.810019,0.534966,425542862.040425,51946.150151
Sumatera,2020/10/21 07:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.994988,10.589688,,12.582188,0.249633,0.103612,577600.223697,4.802812,0.513566,526883551.447852,64316.839776
Sumatera,2020/10/21 08:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.995222,10.511014,,10.958116,0.279729,0.118529,659876.162335,4.085504,0.514832,597250525.664593,72906.558309
Sumatera,2020/10/21 09:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.994761,10.444793,,9.834349,0.302980,0.128692,703575.790348,3.664707,0.512001,643600953.865351,78564.569564
Sumatera,2020/10/21 10:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.994323,10.397125,,8.855606,0.322664,0.136131,734343.682390,3.312472,0.501743,678472120.942340,82821.303826
Sumatera,2020/10/21 11:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.993263,10.355344,,8.333348,0.336056,0.140257,749468.321398,3.086914,0.491899,702719625.864438,85781.204329
Sumatera,2020/10/21 12:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.993097,10.329771,,8.188881,0.343063,0.140508,756131.638343,3.102172,0.484624,715382044.135922,87326.909685
Sumatera,2020/10/21 13:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.993230,10.380191,,8.791323,0.331738,0.134805,729071.760019,3.336784,0.498056,698061997.212966,85212.646144
Sumatera,2020/10/21 14:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.992700,10.410776,,9.379334,0.320500,0.129348,704791.347653,3.572040,0.511369,678834984.227921,82865.598661
Sumatera,2020/10/21 15:00,L1800,,,,,Active,,,,MC-BELITUNG,,0.992131,10.477573,,10.456164,0.299947,0.120748,668856.850639,4.061509,0.526185,642074663.621129,78378.254837
